"","SRR19925016","SRR19925018","SRR19925020","SRR19925022","SRR19925024","SRR19925027","SRR19925038","SRR19925039","SRR19925040","SRR19925042","SRR19925043","SRR19925045","SRR19925046","SRR19925047","SRR19925052","SRR19925054","SRR19925055","SRR19925057","SRR19925058","SRR19925060","SRR19925061","SRR19925062","SRR19925065","SRR19925066","SRR19925068","SRR19925070","SRR19925071","SRR19925072","SRR19925073","SRR19925076","SRR19925077","SRR19925078","SRR19925079","SRR19925081","SRR19925082","SRR19925083","SRR19925085","SRR19925086"
"SPARC",16.3398706685652,16.3964320780153,16.4707008679873,16.8313211452913,16.9393219507705,16.1051913982166,16.1575697818907,15.8465300055596,16.4955699915096,16.4894532258119,16.7479362106796,16.6822346590247,16.5773546750912,15.8572078658842,15.9945196467856,16.1547444494074,15.7710385987148,15.5239154201103,16.4983834429422,15.7282681334035,15.969083432769,16.1623747707169,16.1903747963152,16.115294035118,15.0504197636274,16.4169200667931,16.3288225998725,16.5820244421377,15.9997518934915,16.6266197512665,15.8176746263612,16.1353339099012,16.171759213646,16.0999618513113,16.3987444497172,16.380361280434,15.966382290898,15.9556930795262
"TPT1",16.461711916654,16.4880957816477,16.8132891702096,16.4080587999533,16.5993018274531,16.1732869359335,16.3318701044522,16.7164178901375,16.0664738347249,16.9149539599803,16.1414252026947,16.6445739595398,15.8362097472172,16.0791378327635,16.3276939602831,16.3443832942397,16.3498225807742,16.3310007365866,16.5903892074449,16.42461381505,16.0962896135114,16.2856704586139,15.963216978467,16.1063727246426,16.2895682604273,15.9986304151874,16.2621578227486,16.841364874876,16.3790257836086,15.6290378626359,15.6266118749206,15.9688012417588,15.8510861672815,15.6524524472626,15.9000659682326,16.4439972115866,15.6547914057382,15.7761040514839
"H19",17.3236133100254,15.8304934384241,15.0998387097468,15.9468698084,16.0234844857127,15.6642600086197,17.0430210559098,17.510304710763,16.4340433974901,17.9348216938988,16.2448297770197,16.9657457289667,16.0002123488161,16.8538143393137,17.1820923970226,16.6698458128073,16.6059858017861,15.2851669792221,15.2947384286744,16.1354001003428,16.6051088361929,16.6887893593509,15.7607208243458,16.3853295805667,16.198442250398,17.175472174481,15.1436604239061,17.4019845587768,15.665843907446,14.9600083747434,14.8506905007863,15.6121417105719,16.1927021513745,14.3002876245974,15.3370598214869,15.206285021249,15.4890790949088,14.5661262907009
"ACTG1",16.6592715052316,16.1322531189046,15.8389803992906,15.971380883435,16.0126043820194,15.5304717825229,16.2184054171552,16.3079523329558,16.0968738693306,16.4244873541203,16.0132157724199,16.3305586785358,15.8445175666827,15.8840826912553,16.2715022457587,15.7086097822276,15.9750064507646,15.4161429726974,16.136154530206,15.5603278469854,15.9820458893714,16.0557686927848,15.6220689451591,15.9394554987153,15.6543417764872,16.1506866622499,15.8570162467427,16.6612624311403,15.8610563602185,15.4664119734602,15.5024866842687,15.7308266947069,15.9078377848327,15.6621828027921,15.7607354742324,15.9964356714061,15.3449096428695,15.4211816228565
"EEF2",16.9470950414088,16.3222009922525,15.6113912201486,15.7124152677599,15.6590318560484,15.1140621869145,16.6935570293347,17.1939298536888,16.0666170000123,17.1881834558759,16.2576829529097,16.4864912653855,15.0989164833787,15.7898865248765,16.1738517741399,16.13094742001,16.2149953238459,15.4211998756515,15.4165928568051,15.7574720280368,16.1727230184355,15.7184875889737,15.3456747981823,15.3405887809628,16.5295618506474,16.0178484332263,15.4187323695039,16.671715446293,15.4997336724008,14.8119098889252,14.8037138367727,15.1787132052939,15.2838163330977,15.0394647215622,15.1137139018761,16.253219206622,14.7912543500923,14.8389563126237
"RPL3",16.1761971440598,16.0011447284458,15.9276775027462,15.7639604133583,15.8906502384421,15.5436373645042,15.9296147996685,16.0966425632246,15.7341488985073,16.595472737591,15.8580690058,16.3880223976763,15.3648119152244,15.6555460126353,15.649861973581,15.8096666026781,15.7775455802277,15.3063613288692,15.7135296664058,15.5177607226977,15.5608688341232,15.808734456108,15.4399217518599,15.7177419334192,15.3207557014884,15.7694239820294,15.7518990477012,16.5574024796145,15.7630601080979,15.1246639333739,14.8961428896524,15.5233715142122,15.3531563945596,15.0962015305774,15.2653655083793,15.7139206514663,14.8197645547427,15.0069262882796
"TGM2",16.1596170026617,15.2764294114377,15.8179367152287,15.126901748157,16.2077368039016,15.7686494359091,16.1049483029333,16.156761442028,15.9420755377351,16.3748160609739,15.5466003058786,16.1647545652416,15.9414446118823,15.7775638846574,16.7531488950577,15.6967593732973,16.0281781932993,14.6351817043643,15.9250616858009,14.6614108812545,15.0989051134825,15.8434631954071,15.2900734784222,15.4231902540252,14.6622451702254,16.3787608014218,15.5624914510057,16.5181915649603,15.9009258596218,15.2282708339168,13.9354430936549,16.088497784463,15.6627511643293,14.2624059418491,14.9570348707015,13.9480433582607,15.3066855253461,14.8808769668745
"TMSB4X",16.2015063281272,15.748842626339,15.4343195676457,15.7113945713698,15.7640114272105,15.3640606896261,15.8648731179538,16.4661020965731,15.7819441258405,16.8088992941258,15.8058707698123,16.3391014898938,14.9430841107755,15.4740999964948,15.402761177424,15.7234629422606,15.941181055109,15.2786396700698,16.2889549332882,15.1883557420053,15.8731748049343,15.6025100004218,15.4625956729104,15.2817620323294,15.5916978825157,15.5552306729889,15.2954102654608,15.886167398262,15.4435098906687,15.0135744609889,14.8912170747549,14.8012616000745,14.7811485882184,15.5574204030222,15.2945313420994,15.9117355696808,14.3876177972427,15.0954422849399
"RPL13A",16.0041951066482,15.7341683468571,15.8821558126584,15.7232202930474,15.7887923202175,15.4519929803011,15.7379328588688,16.1131937969443,15.4623552694637,16.3550834080911,15.5838068444189,16.2686071107951,15.2498406610145,15.7161170459146,15.7464830113616,15.9172477011425,15.7889756905686,15.4966921331525,15.6571202401883,15.6379051537681,15.5959196687234,15.8187606843109,15.321416177392,15.5292896272053,15.66798861634,15.7603542708082,15.5099990656951,16.5022844918484,15.5655657902154,14.801614941164,14.6131589671466,15.3330744243012,15.1763502063992,14.8863130100119,15.0612325124641,15.7727829010945,14.5532660435906,14.7918240432832
"COL6A2",15.9818136226992,16.1908073544894,14.8717009576141,15.680434376413,16.1511254763701,15.0187115812672,15.4788927807432,16.4120213895867,15.883452716618,16.0508395233241,15.7059498911946,16.155177180229,15.4479437772293,15.2204448466627,15.2484613805286,15.6132343760061,15.5996937664285,14.7039002966308,15.7394996642267,14.8323207754263,15.9487166089406,15.8096031731854,15.656085676409,15.5642260549657,15.2013716935676,15.9450238734869,15.4351620452712,16.4286060586339,15.5193270553977,15.1298394284246,15.0430759463157,15.7312987232398,15.3106040624103,14.9854028842526,15.311498413442,15.5197424825532,14.8922037614202,14.8111558381106
