"","SRR26112889","SRR26112890","SRR26112891","SRR26112892","SRR26112893","SRR26112894","SRR26112895","SRR26112896","SRR26112897","SRR26112898","SRR26112899","SRR26112900","SRR26112901","SRR26112902","SRR26112903","SRR26112904","SRR26112905","SRR26112906","SRR26112907","SRR26112908","SRR26112909","SRR26112910","SRR26112911","SRR26112912","SRR26112913","SRR26112914","SRR26112915","SRR26112916","SRR26112917","SRR26112918","SRR26112919","SRR26112920","SRR26112921","SRR26112922","SRR26112923","SRR26112924","SRR26112925","SRR26112926","SRR26112927","SRR26112928"
"MT-ND1",16.1475443820819,16.105565214215,16.461897363118,16.0005794105816,16.6083233785693,16.1687524841684,16.6498939788243,17.7528605380183,15.913576890639,17.9405191961678,16.9525531907821,16.6506482359381,16.3388988548841,17.3910801980592,16.4662638954765,17.0773033793071,16.5100647490046,15.9149627465316,16.2825993212427,16.2980196473095,17.4463517602348,16.7187573588641,17.0652444779864,16.5688416604893,16.0951944864259,17.0453364685913,16.2790904364285,17.0180448873974,16.2839962648002,16.359211691199,16.3836160907284,16.1823746854428,16.621073113908,17.3066926609402,16.1506597545205,16.3695709384128,17.1386496439137,16.3305863989364,16.6289120860144,16.6049308203526
"COL1A1",16.5583600479408,15.8805429851241,16.3821763876097,16.560318030422,16.583497529098,16.711292852798,16.7338156161847,15.1892822137087,16.6508094361024,15.815672950672,16.5195497342327,16.8510908596339,15.9930753927341,16.748006448704,16.6040239671809,15.8952912593217,16.1265292633215,16.483749009116,16.5883325941426,16.8331307679323,17.134864769244,16.1092324539662,16.2869287740885,17.0455269154451,16.6569860280889,16.2707104851118,17.3137627241533,16.8298932492944,16.5536422235892,16.0968715851224,16.7791305397713,16.8295153882017,17.0039032923784,16.5083645163791,16.6079046413488,16.4085341014844,12.7056056686792,16.672534508958,16.6188237192511,15.8351592036964
"ACTB",16.9850598257243,17.157537929067,16.0769258722863,15.9067379754439,16.2425170608051,16.3591632243713,16.5451967115508,17.2613224943149,16.5678107600317,17.8503886946806,16.1283950619307,15.5685686512238,16.2942900347196,16.4270427227009,16.1945097602684,16.7185694979472,16.0640889560106,16.0754861614466,16.0947707043125,16.1148603803982,17.0683240023596,15.4967220336527,16.0200016519854,15.9179825855671,16.3649331931286,16.0033023356558,16.7172918026867,15.7435174972358,16.4272342449087,16.728602155147,16.4069128542019,16.291501966291,16.7733465371222,16.0171797507217,16.1398848139059,15.9619476249278,16.7791043042388,15.4025069474463,16.2556482168515,15.9331910675224
"FTH1",16.1194726301561,17.1690485372258,16.6641547391872,16.4324541815327,16.6340907884899,17.0250631294043,16.2417727663605,16.3127385925041,16.3020314797289,16.1253536193142,16.1930234568948,15.6850359601674,16.616689257132,16.076945561735,16.2929223977143,16.6259448296251,16.5426994093446,16.8086836955701,16.45276355374,16.5395039404006,15.1892769433147,16.2163895172097,16.7813432740083,15.8793095501308,16.155268983188,16.1272655147075,15.8637518172164,16.110638248995,16.5086653244694,16.3331437907474,15.9711739837048,16.4690435272275,16.5255746819975,16.1389610000317,16.0394603954616,15.832731740386,15.7924091412637,15.8515047390254,16.2749951126432,16.0772831978381
"TPT1",16.3124069358307,16.2324568103418,16.1288770051363,16.2339396197541,16.2052031743928,16.5050284185611,16.3150505900417,16.8186689449495,16.4183452714872,16.9276786548986,16.3176192425901,16.0999165916701,16.1870775211658,16.3737695952139,16.2073893991583,16.2774990926938,16.376635609749,16.0141828760935,16.1818651067187,16.4543215771677,15.9401559002251,16.1312049280561,16.2141288725499,15.973615926916,16.1757020367323,16.4809599063824,16.3100514551243,16.4641440576998,16.1031677176804,15.9277977456505,16.0771493875362,16.1871266048164,16.0288952365054,15.881941146619,15.9385427824693,16.0257300567268,16.5090154856864,16.3340576799857,16.3406717966354,15.9321026702887
"SPARC",16.2199872677445,15.4977618687814,16.2133408828837,16.3407222947192,16.2496268385848,16.1947075895456,16.3278568731518,14.8071107519206,16.2368553643053,15.4602062023549,16.2387793715065,16.4430760317976,15.6713969913718,16.2795562478186,16.3883708783547,15.2884846150155,15.5679797475087,15.8313087317213,16.3943005755975,16.1888545973103,16.7246139350911,15.7741622781718,15.8840791503115,16.6499014725359,15.970143807539,16.2816121002343,17.0221397261371,16.2909806354101,16.1602270799853,16.0222252291107,16.3783698492704,16.1898800198837,16.2199890659177,15.7626789049764,16.0686311542425,16.0334351729263,13.1056450638703,16.5878912107643,16.4049235946512,15.5811506616102
"TMSB4X",16.6482457897793,16.6440176165227,16.1897535483874,15.8635007998176,16.2067532100858,16.0042360422621,15.8039887803156,15.8746156419232,15.8418307133147,16.2202506773314,15.8836501076055,15.7091291792566,16.5852251898236,15.7613360997265,16.0982025316172,16.4548539658138,15.4486303190783,16.04778096169,16.2364151675686,15.7674170725133,16.3708982167397,15.3939906349373,15.5804526747974,15.8826535141385,16.4620995792317,15.6189713886416,15.6068952483214,15.8317811417102,16.638792207082,16.6891424084666,16.2589692269702,16.3903675512639,16.4374735107148,15.7943757666749,15.7793982466492,14.8975001756999,14.9689241199372,15.464829384481,15.8897324935424,16.1853061538573
"MT-ND3",15.7735721591502,16.2247169317844,16.0304635645708,15.3406519913519,16.0486284867275,15.5344104230171,15.8295396544554,17.2764055579518,15.4266963850872,17.1267586528471,16.2321800278522,15.9271380495306,15.6632116097128,16.7536526036467,15.856297464728,16.528179158622,15.7599629458623,15.4408463049098,15.5388912928368,15.7421741713988,16.9823697332599,15.7224858695744,15.975372496427,15.3869786345004,15.3183719792229,16.0909167994192,15.5761075563511,16.0243417885919,15.628531817471,14.7078597418186,15.1672472101041,15.1756234545156,16.2151636384824,16.4998872033781,15.176411759676,15.2313768463502,15.9016822509526,15.284217479356,15.6644137482666,15.9011514495682
"SAT1",16.4828406572685,16.9454030802395,16.1850339717841,14.0900288677267,16.3690922736098,15.8875068160709,15.089405528605,15.5675262748291,13.5426457195087,16.3571102324289,15.7388572032945,15.8100340188298,16.3634045733021,15.7598927319228,16.4524979878314,16.9518933196004,14.8308663231432,16.2396425964414,16.1052608777361,15.3317014873233,16.0801413243388,14.9271597850688,15.4679568307183,16.3221961814571,15.7329163644424,16.2826744835629,14.0233374084833,14.6529871469488,15.8290093383438,16.1537833700863,15.4567229533569,15.6822600332925,16.0787226801129,16.6477109267785,15.7269574266922,15.0847284887315,15.4093245837959,13.8907488199317,15.5209045638783,16.1725265768213
"EEF2",15.5697042474283,16.0255809702634,15.7616009157641,15.7508160253252,15.6947568955263,15.9661165982418,15.7575613399093,15.8318328925568,16.0686888773068,16.636201427549,15.726251482349,15.5642684856957,15.8317262675112,15.593807364514,15.9269936662555,15.6588198674469,15.6613813496386,15.8321821693991,15.9766999263355,15.8205153741086,15.7099422067561,15.5925004363732,15.5694099756669,15.7812307071414,15.8358978999551,15.9180477706615,15.9250320487429,15.7022131761031,15.6829124000642,15.65972173689,15.8918808854347,15.8880722575343,15.754776259888,15.4003861489544,16.0725461054561,15.7929546185103,15.2930434248707,15.7283183567613,15.7541858317756,15.6114390254194
