"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"AKAP9",12.5460142092235,12.6843579724555,12.5210629671639,12.6623879802499,12.6034700108845,12.7095179137017
"PRKDC",12.6603351415506,12.2563607606864,12.9466406515779,12.639839437768,12.4567524814357,12.6000838517206
"EIF4A2",12.5798191676452,12.7264515019559,12.6775104661733,12.5682874429238,12.5841886311915,12.474899437949
"UBR4",12.6512158650315,12.5743446270054,12.5422912401811,12.7366506243724,12.5011286869148,12.6642612576743
"SERINC5",12.5170829686518,12.6018697643949,12.5397274040601,12.525370209452,12.8699783411639,12.4548034965072
"C1R",12.7083557068748,11.8034914569655,13.1242372036642,12.6114400744255,12.3457010911926,12.5049202847507
"PTMA",12.6351337950861,12.3414247060131,12.8517406367578,12.5791408425569,12.6299943817318,12.3447627396874
"EIF4B",12.7361653904377,12.8389237708417,12.5444395797601,12.3687113535934,12.426396232161,12.5110647294134
"SLC7A2",12.7947184158136,12.1234239803093,12.7102077842617,12.8350476052069,12.8142733557766,11.7520410338682
"EEF1G",12.7904478227826,12.6075970443948,12.6217260239839,12.2779688646277,12.5779558170288,12.4942415937081
"BCAT1",12.2296420312693,12.2459230092859,12.7405225092131,12.8297931272912,12.4903297344075,12.5100554409779
"TAOK1",12.2707872831697,12.552009608002,12.7142926091594,12.7019686827828,12.9033263547085,12.1005589386773
"TPM4",12.6086305346222,12.4534944790286,12.6674165262312,12.3559264358897,12.6588069895091,12.5084737500431
"N4BP2L2",12.4360917301138,12.7194941429608,12.3455754697931,12.6133689947002,12.5938119644935,12.5406840018178
"HSPA5",12.5916969565818,11.9887681430117,12.6787468588479,13.0374807800907,12.3198870672154,12.353861456119
"IGFBP5",12.6367058117943,12.5331794827923,13.1120958321113,11.783684603996,11.8169392067736,12.7435983043757
"APOL1",11.6059535036825,11.9892823416242,12.293059582522,13.5335103805882,12.7484644167327,12.0368837738446
"ZC3HAV1",12.8924936863434,11.5489130692019,12.06154099993,13.0011357324623,13.1222039867092,12.2636767028554
"TUG1",12.665790384928,12.5038804407651,12.5399855159153,12.509338963262,12.4815788861565,12.5165222270595
"MT-ATP8",12.7481168927649,12.2947085144083,12.2906981960665,12.6337564628798,12.6498742384919,12.6029001357055
"VPS13D",12.8410262689849,12.2279302682424,12.5977848157207,12.8331068259881,12.6035772546372,12.0084072913607
"MED13L",12.656322478077,12.5969964159241,12.4185472847417,12.7237871281467,12.4557736054125,12.3390005653434
"EHF",11.841429911113,12.4886649702916,12.8287751857281,12.4503783071073,12.4815325155864,12.6713050561607
"SLC38A2",12.4673453393468,12.3862420051963,12.5386614500913,12.9555863859941,12.6269815476866,11.9536978391578
"DCN",12.5537994761377,12.441756634214,12.8493132254739,12.372981503346,12.227330079184,12.5112447909819
"WDFY3",12.9712220528086,12.3422456471954,12.6133598716662,12.5487704282678,12.430670081251,12.2276947731694
"FKBP5",12.1092832364979,12.9286114501096,12.2543453868792,12.9044357243419,12.5197694041588,12.0795192534703
"BTBD3",12.4396633846015,12.3388252795302,12.7281783331795,12.2339076201571,12.6519881089955,12.4529615088319
"ZBED6",12.4478931574249,12.5186701407672,12.5220686547655,12.4492437674864,12.5314942339013,12.5196503764106
"BPTF",12.4658590330152,12.6508160155752,12.6322717174514,12.2609034360993,12.281809786867,12.6608273317164
"NKTR",12.3300055626262,12.7100018101571,12.3391462732399,12.5252559854445,12.4401641070336,12.6060962213646
"RPL3",12.8410316013061,12.5583935270076,12.5367377419953,12.2502270305575,12.4233835350063,12.3627950198016
"ID4",13.0533542703034,12.0961698685973,12.5057820235906,12.79338897647,12.5976552518352,11.5491157047354
"RPL4",12.857440130632,12.4914020255137,12.6121670076872,12.2682551926219,12.2578693587524,12.4188511968271
"CDC42",12.444498212712,12.5167921139759,12.5562522856259,12.5157148414758,12.6969718306433,12.1393013723954
"PAPOLA",12.3119779240119,12.3197142339265,12.5517180026282,12.2573818135813,12.5442097360628,12.8505740856793
