"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"SLC2A7",3.7980671,3.7033491,3.3479486,3.421969,3.9195738,4.1155463,3.0269299,3.0118451,3.1501294,3.9660454,4.9114571,4.0528212
"SLC2A8",10.7249728,10.1617251,9.8168916,10.55686,9.9399986,10.1415701,10.0472613,10.4780646,10.0479994,10.7604323,9.8957253,10.0632716
"SLC2A9",9.2014342,8.989357,8.5550576,8.0964642,8.9551983,8.712245,8.8655396,8.325265,8.510088,8.6775675,9.0627376,8.5535346
"SLC2A9-AS1",2.7192556,3.968441,2.4892656,3.7443338,3.8862434,3.3475085,3.6513954,3.6789604,4.1273476,2.8443299,4.1671496,3.9778505
"SLC30A1",9.9906454,10.2719088,8.976512,9.7994881,9.9687205,9.9306422,9.8049183,9.7685824,9.4587365,10.2477684,9.7789021,9.8845854
"SLC30A10",0.787351599999999,0.604678199999999,2.7227686,0.1512223,1.727726,1.8331623,1.5444736,0.791470599999999,1.1463862,0.9657076,2.1024066,2.7646213
"SLC30A2",10.9090033,10.2860451,9.9592762,10.0091266,9.9876309,11.111351,10.6464329,9.851924,9.7968674,11.2008343,11.1097556,10.914341
"SLC30A3",6.67462066,6.987203633,6.4951878,7.21287445,7.10693744,7.081548726,6.78282837,7.32069687,8.5890055,6.29196075,8.0396738,7.19853214
"SLC30A4",7.07941631,6.68547825,7.44517902,6.40957454,6.08286766,5.8601666,6.8550816,6.68635276,6.64907077,6.86042026,3.7378436,5.4703513
"SLC30A4-AS1",4.6845827,6.0491648,5.2586241,5.2882386,6.17424396,5.9348564,5.4418331,5.6606713,5.2072764,5.1325374,5.9318819,5.4822154
"SLC30A5",9.5304098,9.1092759,9.4429846,9.0825596,7.8164692,7.087876355,9.1295834,8.8453198,8.8021412,9.3538952,6.83493522,6.82654384
"SLC30A6",7.9652081,7.18581394,7.8806906,7.31009582,7.8228283,7.95321754,7.5469647,7.029562985,7.6509533,7.55266,4.8842846,6.61245063
"SLC30A7",10.796567,10.3580799,10.8125592,10.4777651,8.4584351,8.3390608,10.4601708,10.2579584,10.651249,10.5654631,8.4030486,7.3188658
"SLC30A8",0.8072129,1.9531002,1.6853176,0.790338599999999,1.784607,2.764688,1.5112856,0.772471899999999,1.6025616,1.053658,1.9351006,2.5039966
"SLC30A9",6.1415415,5.8105011,6.3545704,5.5925274,4.983635,5.6279664,6.34634784,5.6767874,6.03201774,6.02443126,2.5602096,4.6460524
"SLC31A1",12.3226862,11.4832096,11.9683886,10.9298354,10.2444906,10.9870367,11.7533486,11.9092036,12.1638316,11.6557141,10.5957804,10.2603732
"SLC31A2",6.76146034,7.5153065,6.56511024,6.10294346,6.081234,6.0079794,6.52642063,6.86683181,5.6228924,6.2121964,4.4893651,5.0496488
"SLC32A1",15.8567346,15.6490096,15.6931391,15.5656146,15.9670406,15.9426186,15.8284726,15.5920746,15.3777616,15.7660806,16.3263736,16.1750441
"SLC33A1",8.5788546,8.0872927,8.6051283,8.133565,7.5442858,8.1882229,8.0453816,8.1911412,9.0605726,8.6059685,6.37485317,7.58237556
"SLC34A1",4.5072236,5.5588312,4.9966541,4.9963384,6.02038387,5.8292446,4.9937426,4.9983387,4.5398302,4.8104806,6.320323,5.7579041
"SLC34A2",10.8723469,10.5842514,10.7417106,9.7811146,9.1560183,9.2796546,10.2399406,10.6844006,9.8456916,11.5388716,9.9125071,7.34949592
"SLC34A3",12.5654726,12.2596446,12.3327723,11.6674786,12.6046496,13.128089,11.8892804,12.0547772,11.4897596,12.6949576,13.3828221,12.8116522
"SLC35A1",7.26982788,7.28998665,7.34501365,7.44898227,7.44279865,7.07462028,7.448103,7.60369877,7.074377095,7.60747436,6.469121,7.5420981
"SLC35A2",10.6753159,9.921773,10.5069046,9.7406903,9.9211866,10.005868,10.1625996,9.8559294,9.9203072,10.2182789,10.1977349,10.3944998
"SLC35A3",7.5614424,6.64995388,7.25051788,6.4278927,6.3407374,6.4877353,7.4980946,6.2290087,6.74192623,7.009732281,4.8092728,6.3006821
"SLC35A4",11.1571942,10.3392649,10.7043162,10.4288588,10.3838501,10.6322576,10.3472729,10.2326622,10.3868018,10.7802153,10.971303,11.3600866
"SLC35A5",8.8942442,8.3194552,8.4858466,8.1596451,8.1699028,7.7707825,8.1767121,7.96287254,8.1788006,8.4588127,7.86751655,7.63306144
"SLC35B1",9.8593808,9.0456306,9.3925296,9.0972776,9.0718994,9.5968523,9.2181902,9.2819691,9.5798474,9.6686421,9.9345876,9.7269602
"SLC35B2",7.88879684,7.419014,7.45796016,7.8207512,7.3384438,6.6676326,7.81341556,7.44768242,7.9811669,7.82107357,8.6731549,8.3364554
"SLC35B3",6.44973854,5.3534127,7.10846523,5.3979106,5.9196968,5.1658702,6.57903007,5.6503086,5.4673338,5.9392348,5.4839411,6.10914425
"SLC35B4",5.9388113,6.15902046,5.9043866,6.47339634,6.2352524,6.9398909,5.9519034,6.4482947,6.20733837,6.62227062,6.1821242,7.067986523
"SLC35C1",6.56207565,6.16315464,5.7419157,5.8125382,5.9587641,5.9827652,5.8274489,6.2402392,6.1900387,6.7566853,6.3137694,5.7359949
"SLC35C2",6.4809313,6.61726764,6.84818557,6.51018814,6.97989372,7.21464637,6.78593353,6.80400757,6.63367084,6.6006823,7.004904782,7.30804733
"SLC35D1",7.40234283,7.10529712,6.8496447,6.979594266,6.50195125,6.80922416,7.12428287,6.6980038,7.09188751,6.923284566,5.7914639,6.86748794
"SLC35D2",9.6671839,9.6245509,9.8539725,9.6336375,9.7624206,9.3500738,9.6563511,9.4699383,9.5425959,9.9298373,10.0000782,9.2184449
"SLC35D3",2.930089,3.3969407,2.3037873,3.475924,4.0512224,4.1441841,3.3846579,3.3350563,3.0928669,2.9525843,3.3322902,3.6654616
"SLC35E1",11.5689011,10.9200516,11.3601866,11.1501093,11.085866,11.2028416,11.075924,10.7041607,11.0865906,11.1562891,11.3209916,11.1114886
