"","GSM2771795","GSM2771796","GSM2771797","GSM2771798","GSM2771799","GSM2771800"
"MED10",5.82103418566667,5.5783245905,6.36736912183333,5.15725720833333,5.54954076691667,5.40971461516667
"MED11",6.35459174066667,5.65397405633333,5.89557189566667,5.49867950166667,5.96393030433333,5.10987036333333
"MED12",4.8935526095,6.69360099216667,4.87322617016667,5.21118857683333,4.6661049055,4.8698995215
"MED12L",3.806710107,3.43925203516667,2.79846894216667,4.0146451075,4.37068746233333,3.840261031
"MED13",7.0294278695,7.808082719,8.13553424016667,7.92155829658333,7.1604949705,7.81027213716667
"MED13L",7.40935541016667,8.02988491283333,7.12168130816667,6.90530270783333,6.27902217766667,6.87660216633333
"MED14",4.700195676,3.96346634283333,4.068402513,4.07543332033333,4.215256228,4.6250337335
"MED15",7.46587429866667,6.90346173733333,4.96758199766667,7.88199435066667,7.80709000833333,7.957876594
"MED16",7.2855250665,7.17770561716667,5.61175910216667,7.61430376583333,6.9554329385,7.0129575085
"MED17",5.790448329,5.98106634183333,7.04936277416667,5.841430595,4.89382287266667,5.3672550185
"MED18",3.24784925983333,3.481010233,3.40007058866667,3.153615365,3.06470433766667,2.77337858716667
"MED19",6.99408481833333,6.63839817333333,5.45464559166667,7.282996118,7.2916476655,7.76424109683333
"MED20",5.65047875133333,6.59096304766667,6.22332785216667,5.17243938616667,5.15502193283333,5.38870479
"MED21",6.514373459,6.397251717,6.34466651016667,6.60364484433333,6.59638521816667,6.88467868233333
"MED22",5.490414877,5.3773085405,5.56040662316667,5.61919534633333,5.59539972416667,5.67439882266667
"MED23",4.26125925516667,5.01655105816667,6.944758691,4.19824098483333,4.26826878816667,3.95257230016667
"MED24",6.39533060116667,6.98104305366667,6.501207587,6.76819780983333,6.67974294533333,6.70002843416667
"MED25",8.560326421,8.5129135915,6.59985283866667,8.33255172966667,7.49703225408333,7.4845239675
"MED26",6.40607362016667,7.78836614566667,5.81957173833333,6.6901527295,5.62735280633333,5.48359190883333
"MED27",5.72742154633333,5.49291064816667,4.8541713385,5.24927588116667,5.31636914866667,5.43575315783333
"MED28",6.799683042,6.29105720066667,6.4261685255,6.741496329,7.17198026366667,6.69205223683333
"MED29",6.74441998216667,6.0502945895,4.6854519845,6.4211625285,7.0695636665,6.84419657033333
"MED30",5.4532684225,4.8809118445,6.40940847916667,5.28680556566667,5.51351324816667,6.01921268516667
"MED31",6.958247726,7.17198026366667,6.70121913683333,6.90961023733333,6.720442634,6.78692636083333
"MED4",7.212399489,7.64441149016667,7.46133624983333,6.9660509575,6.820734739,6.91069631866667
"MED6",7.51942912983333,7.43164607983333,6.591340985,7.28648729166667,7.15604398658333,7.61950109966667
"MED7",3.88398322466667,4.51028585133333,5.011038026,4.61323654016667,3.12607240333333,3.50547008733333
"MED8",5.7314731355,5.49816050466667,5.7034195855,5.29788660216667,5.664690223,4.81837770266667
"MED9",3.7605583545,4.51776888933333,4.70402992233333,4.15957492916667,4.92534558733333,3.73551807333333
"MEF2A",6.401858507,7.64402077483333,6.523474136,6.284541332,6.116352902,6.03501604883333
"MEF2C",5.3801918255,6.47151151416667,4.97893326433333,5.96393030433333,2.78417424966667,4.56933962933333
"MEF2D",6.68610810716667,6.82925507133333,5.85838143083333,6.78932532166667,6.82886454466667,6.55514590666667
"MEFV",4.84043629766667,4.0146451075,3.83314250216667,4.8091458045,5.66237542333333,5.29604586716667
"MEGF10",5.02310126083333,4.30759598083333,3.41034081508333,4.813029293,5.61175910216667,5.53087362
"MEGF11",4.614815667,4.054722133,3.015273712,4.485637678,4.40914443083333,4.911714652
"MEGF6",5.61114109666667,4.92124066833333,4.5596415725,5.08616531983333,4.73481781716667,4.94656008316667
"MEGF8",4.91967014883333,5.3615286595,4.82822015716667,5.6621794795,4.920613913,5.0690114625
"MEGF9",4.0055247615,4.83407289383333,5.82383945183333,4.34490770866667,4.35934614283333,4.21428604716667
"MEI1",6.0022313575,5.8093871185,4.53728348083333,5.9145685765,6.00519660883333,6.194765515
"MEIG1",2.35920477066667,2.38370924733333,2.65142636183333,2.4249635535,3.081152119,2.08806992883333
"MEIS1",6.846221668,7.0079688085,7.01382869833333,6.7588869255,6.85297659066667,5.69479140033333
"MEIS2",5.41404726833333,4.85743341716667,3.59504421366667,5.45168735283333,5.68301312766667,5.88625819483333
"MEIS3",8.143896182,7.3973952695,5.71678578533333,8.24988806016667,8.34755712783333,8.35545581483333
"MELK",3.39028044833333,3.953396449,3.31579790683333,3.08381130116667,3.00536639733333,3.46501837083333
"MEN1",5.72972232533333,5.65858208983333,5.4614074985,4.2729189025,5.020458085,5.03631957383333
"MEOX1",3.17624752991667,3.73295105083333,2.65524809433333,3.17951305683333,4.5326719315,3.72495195033333
"MEOX2",1.96979105416667,1.821700818,1.9506149955,1.96901758816667,2.06987224083333,1.5987543325
"MEP1A",4.0501857105,3.51705696233333,3.09670347633333,3.35266785983333,4.37033551316667,4.607097128
"MEP1B",2.19014600983333,2.54005706191667,2.18177054116667,2.25057565433333,2.16269545883333,2.99537947316667
"MEPCE",5.72885280666667,5.84980835016667,6.10313233983333,5.7791742075,6.27825768633333,5.87993357
