"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"FTX",5.72385,6.13015,5.8764,6.37055,6.44665,5.9398,5.7753,5.96685,6.07815,5.89375,5.9807,6.41635,5.78565,6.00005,5.86915,6.5876,6.00035,6.2504,6.62535,6.12935,5.64655,6.0984,12.00355,5.64575,6.50855,6.3945,6.128,6.3179,7.07785,6.79335,5.91905,6.10225,6.34165,6.2659,6.43945,6.7683,6.8003,6.348,6.4638,6.2957,6.7237,5.62375,6.3166,5.7906,5.72355,6.53805,6.27535,6.2353
"FUBP1",10.7345,10.8045,10.657,10.33415,10.6435,10.938,10.721,11.3705,11.6325,10.8675,11.57,10.674,11.097,10.8825,10.733,10.801,11.252,10.7395,10.9425,10.869,11.3515,10.454,10.6475,11.0495,10.8055,10.689,11.2005,10.4665,10.658,10.8345,11.6515,10.8905,10.988,10.9015,11.3185,10.8435,10.7545,10.7925,10.50435,10.58725,10.849,10.9925,10.51055,10.724,10.50465,10.711,10.50935,11.2045
"FUBP3",8.52966666666667,8.51113333333333,8.73883333333333,8.79436666666667,8.63626666666667,8.70673333333333,8.31283333333333,8.58176666666667,8.75216666666667,8.88326666666667,8.79743333333333,8.68676666666667,8.2288,8.78473333333333,8.30676666666667,8.29266666666667,8.71,8.5948,8.7474,8.50606666666667,8.4289,8.34316666666667,8.36496666666667,8.49573333333333,9.18613333333333,9.02216666666667,9.05823333333333,9.2732,8.66206666666667,9.0889,8.99516666666667,8.7616,9.1765,8.90173333333333,8.95496666666667,9.00803333333333,8.58673333333333,8.53886666666667,8.45443333333333,8.6236,8.92523333333333,8.55586666666667,8.20676666666667,8.79503333333333,8.60906666666667,8.8059,8.88443333333333,8.54086666666667
"FUCA1",12.33440975,12.38507605,12.1259877,12.8017367,12.54339719,12.17216334,12.20289276,12.09904978,12.36417389,12.35782422,12.03201693,12.51387173,12.3825792,12.18461527,12.5583359,12.35091546,12.28332206,12.18593558,12.27653131,12.39983301,12.40110571,12.51795384,12.37526273,11.63175014,11.77006294,12.33453339,12.41511963,12.0954451,12.58854968,12.63901959,12.51785385,12.46593542,12.58140695,11.80281333,12.67510305,12.34571428,11.74872879,11.90454392,12.68230237,11.70442575,12.631075,11.88804743,12.17627738,11.57334631,11.98392419,12.31266719,12.1740767,11.76163266
"FUCA2",10.9193,10.97035,11.1721,10.6184,10.73235,10.36005,10.67985,11.02985,10.57615,10.89425,11.0426,11.10795,10.905,11.03825,11.40445,10.5595,10.92155,11.338,10.6909,11.2253,10.87935,10.71295,11.2247,11.0875,10.56905,10.2193,10.60155,10.7009,10.2504,10.25095,10.586,10.4345,10.85905,11.1195,10.5276,10.5995,9.8069,10.48425,10.10145,9.8726,9.46625,9.9361,9.95785,10.37245,9.9573,10.1471,10.83515,10.3559
"FUK",10.857,11.493,11.397,12.621,11.867,11.175,11.154,11.27,10.283,11.211,10.42,11.118,11.708,10.789,11.613,12.165,11.038,10.938,10.948,11.034,10.887,11.462,11.012,10.682,11.449,12.238,11.217,11.083,12.386,12.358,11.42,10.743,11.579,11.542,11.848,11.834,12.065,12.356,12.126,12.144,12.295,11.617,12.44,11.426,11.645,11.813,11.836,12.008
"FUNDC1",11.42,11.061,11.063,11.273,11.353,11.062,10.353,10.758,11.122,11.53,11.604,10.88,11.142,10.771,10.874,11.078,11.58,11.195,11.575,11.413,11.5,11.618,11.133,11.019,11.369,11.422,11.278,11.373,11.587,11.266,11.393,11.66,10.917,10.976,11.613,11.43,11.307,11.029,11.359,11.345,10.826,11.09,11.485,11.553,10.965,11.337,10.817,11.149
"FUNDC2",8.984858006,9.5501867505,9.105371273,8.994377133,8.8164165965,9.0541247435,9.476371513,9.253694511,9.012169758,8.987104936,9.0802460715,9.5350469085,9.4336912165,9.427532815,9.5752013955,8.9999024635,9.348834694,9.693857895,9.251438105,9.3315277185,9.26120478,9.342167155,9.446890799,9.439532866,9.193007081,8.823009495,8.867935638,8.977953736,8.9408874295,8.654870224,8.915855543,8.799884353,9.0665890275,9.284393707,8.5837460715,8.615756447,8.3602237245,8.5284603025,8.9431128175,8.4845443665,8.588971945,9.1072241345,8.465130462,8.8043846915,9.7239779595,8.7646531545,9.3573021315,9.1919625215
"FUNDC2P2",11.22,11.531,11.48,11.021,10.599,11.211,11.474,11.218,11.558,11.452,11.552,11.806,11.254,11.324,11.589,11.442,11.577,11.904,11.631,11.54,11.387,11.483,11.858,11.553,11.384,11.112,11.43,10.836,11.269,10.935,11.201,10.76,11.163,11.342,11.175,11.004,11.096,11.153,10.967,10.762,10.864,11.024,11.846,11.366,10.843,11.129,11.035,11.047
"FURIN",7.4437,7.6707,7.717,8.4962,8.2635,7.1755,7.8724,7.8455,7.5237,7.5924,7.3102,8.4806,7.9597,8.0577,7.8417,7.8875,7.5467,7.8446,8.0341,7.8085,7.3181,7.6723,7.3143,7.9456,7.7586,7.5688,7.8114,8.0539,8.043,7.7708,7.5409,6.6488,7.911,7.0962,7.273,7.9886,7.3899,7.6049,7.8482,7.4206,7.8263,6.9181,5.7143,7.1254,7.0341,7.4629,8.3759,8.4676
"FUS",12.406,12.621,12.543,11.171,12.239,12.111,11.735,13.056,12.517,12.309,13.078,12.192,12.426,12.65,12.628,11.937,12.578,12.509,12.046,12.595,12.988,12.127,12.636,12.986,11.671,10.781,11.982,12.028,11.145,11.573,11.7,10.911,12.114,11.382,11.932,12.059,10.585,10.789,10.509,9.3907,10.803,11.41,10.091,10.333,9.8399,10.61,10.996,10.365
"FUT1",8.5295,8.328,8.3854,9.0347,8.8302,8.997,8.6697,8.7633,8.4154,8.5138,8.7228,8.5172,8.3258,8.3786,8.2248,8.7793,9.1142,8.1462,8.7699,7.9945,9.0201,8.5407,8.3438,8.6049,8.7039,8.5397,9.1501,8.3767,8.8651,8.459,8.7929,8.0185,8.1688,8.5315,8.7423,8.5338,9.3537,9.32,8.5566,9.2402,8.5988,9.5739,9.5072,9.2131,9.0064,8.6616,8.4505,9.04
"FUT10",8.18701177,7.7089463255,7.55983284,7.2055287895,7.5015402435,7.8602021575,7.118158557,8.159301585,8.196946635,8.017492875,7.861232045,7.5324476085,8.158936517,7.446001458,7.8617627935,7.449103604,8.5250174865,7.5382206805,7.594970557,7.8023682855,8.1817944415,7.5515742285,7.4699030295,7.734080711,7.633007852,7.4825052545,8.2329793785,7.501684388,7.6984411145,7.279611271,8.411403243,8.024228566,7.3109525765,7.391857172,8.1631214155,7.496308863,7.5282128275,7.564775248,7.5636162175,9.031706075,7.372090201,7.8168108225,5.9485310975,7.573742843,9.34753383,7.412037361,7.601390788,7.312508755
"FUT11",7.38025,7.2946,7.6449,7.73205,7.5941,7.205,7.59425,7.40435,7.2537,7.3291,6.96375,7.6085,7.1265,7.54535,7.16845,7.62925,7.27655,7.70005,7.3719,7.46895,7.047,7.5229,7.13665,7.49175,7.39895,7.67345,7.3878,7.58265,7.46345,7.61015,7.14425,7.1128,7.885,7.58445,6.82185,7.64865,7.07715,7.3093,7.5369,7.18765,7.7068,6.9735,6.95405,6.88595,7.8218,7.5224,7.58045,7.71915
"FUT2",7.3202,8.0903,8.7447,9.0956,8.9056,5.1155,10.071,5.4031,8.1198,5.6964,8.0213,8.6999,7.9114,9.3638,8.4027,9.7121,7.2175,6.8961,8.4908,6.809,7.1408,10.21,8.6034,7.3216,9.2201,10.726,7.5904,7.1979,9.9149,10.217,6.9582,7.6623,8.8811,8.3692,7.6398,7.8133,7.5988,7.7254,10.621,7.7739,9.043,5.9305,9.2558,7.6245,9.7681,8.8847,9.1254,7.9694
"FUT3",6.62694357,7.60995721,6.561545224,6.524152652,6.693649122,8.002411686,9.600979846,6.10068794,7.62061061,5.985869658,9.106116238,6.426809316,6.980153493,7.897600758,7.018329661,6.283689718,5.680686798,7.304647636,5.306106096,6.411001913,5.827373645,6.468474184,8.339229122,7.100675139,8.289688331,6.633921099,6.786149385,8.023125775,6.751560364,6.163883797,5.912544311,7.021224869,8.202231844,6.968320825,10.22547253,6.077731886,7.228980674,5.828828543,6.245575861,6.174117769,6.920305324,6.375060598,6.727937029,7.221598892,6.200002905,7.192921227,6.781580596,5.42280657
"FUT4",9.742276395,10.9337146,10.91953156,10.5742793,10.07065371,9.809384915,10.55386041,9.424300089,10.06587352,9.443313038,9.563059531,10.39655034,9.211282911,10.52693847,10.03641142,10.44636304,9.657041439,10.32664736,10.71155152,10.61503679,9.444025217,10.52442047,10.68939852,10.97823837,10.69892272,9.592011517,9.3052808,10.40594049,9.175370656,9.602217827,9.140233767,9.1560203,10.41190944,10.56475601,9.239676014,11.30667952,11.1091785,10.98131915,9.538757136,11.27208977,10.35941919,9.981896003,10.46553576,10.046003,10.8536151,9.586851844,9.735725543,10.80337536
"FUT5",5.0598,5.1439,5.028,4.9039,4.6825,5.0243,4.3708,4.0132,5.3118,4.3787,5.3537,4.547,5.6579,4.6209,4.8324,3.9417,4.396,3.2529,4.679,3.985,4.2225,4.7057,4.7234,3.9755,4.746,4.5863,4.7792,5.4242,3.8684,4.3518,4.7671,4.8403,4.252,5.1704,5.8209,4.3974,4.0581,4.5079,3.9897,4.5197,4.2684,3.7804,4.5039,4.2855,4.002,4.7212,4.5046,4.7572
"FUT6",11.4218,11.5474,11.36635,10.8927,11.4572,11.486,11.1507,10.89645,11.3389,11.23935,11.88955,11.3521,11.8238,11.57305,11.30705,10.55245,10.62035,11.3036,11.33805,10.95315,10.96465,10.90735,11.62345,11.15455,11.84785,11.2836,11.5413,11.40305,11.3642,11.2359,11.19685,11.23155,11.91535,11.17135,12.52595,11.37625,11.5295,11.2176,11.1832,11.0281,11.44415,11.2103,11.01245,11.6148,11.2982,11.07865,10.9791,11.09
