"","GSM2425674","GSM2425675","GSM2425676","GSM2425677","GSM2425678","GSM2425679","GSM2425680","GSM2425681","GSM2425682","GSM2425683","GSM2425684","GSM2425685","GSM2425686","GSM2425687","GSM2425688","GSM2425689","GSM2425690","GSM2425691"
"ABCD3",8.83509906238068,8.74106027784146,8.67376932168978,9.73169146983415,9.05942277256658,9.07508936861708,9.23806901092509,9.47216820674031,8.83581533762606,8.41362691363728,8.9567901302712,9.08652414767507,9.22281412257695,9.02689039090993,9.8178444410052,9.77729931055448,9.50830337793329,9.70066089130618
"ABCD4",5.84400870922559,5.34420960997607,5.54393691444833,6.07826611196264,5.50836621468624,5.80854130841242,6.1569602109451,5.51157588315121,5.6798158916794,5.90204704119802,5.59049693011831,5.51669314261245,5.73463971894173,5.49275017368296,5.56921065543825,5.81047575177765,5.5453413769443,5.51377306677312
"ABCE1",9.52839933224489,10.0590846441548,9.75737327367372,10.6060061815477,10.1634142723739,10.2825230439219,9.8066355850389,9.82191005118753,9.57929662608185,9.15374317930415,9.83251483303629,9.93962851779561,9.67890318765679,9.5936733965119,10.0995764403809,10.1805194447554,10.3762077366971,10.4353482071267
"ABCF1",11.338758585424,11.2397965192924,11.375948357888,11.109425115115,11.1753255256789,11.4304002059763,10.9352710447439,10.9811604302031,11.109425115115,11.2575032654653,11.044590741468,11.1059208539033,11.1563725092833,11.2852212117044,11.2712598340442,11.0368493637661,10.9251544797571,10.797923181069
"ABCF2",7.920933747032,8.29002373272864,8.29414862550691,8.75793817933374,9.22761680975294,8.70483206575287,8.26039531802665,8.35158663619655,7.77302879922663,7.49251866639132,8.15247174668139,8.13797969846449,8.04055253337942,8.1510782549748,8.41205008660296,8.2112758585219,8.45265745093967,8.43686750298898
"ABCF3",8.15589269373156,7.74556918912687,7.89663126666562,7.82278788008032,8.03506552708832,7.70601148126251,7.5304216321216,7.43875243777764,7.83644529006356,8.49825709153062,7.86308395053294,7.74668535181862,7.69940490701855,7.8032196730908,7.82018253723033,7.75234960109427,8.07953203731565,7.96342649575627
"ABCG1",11.4556805859323,9.32160539103591,11.5431908077047,10.5247012155969,9.80105671170177,10.0948586942573,10.753186540868,11.0082317157776,12.0680970213708,12.3524633302278,12.0786378052666,12.458466816557,12.1705031095058,12.3051089397715,12.0269061485699,11.6901433077643,11.6127892021603,12.4657178747355
"ABCG2",5.99959102816263,6.13654721647737,6.58506198313665,6.40414561737975,5.86994936091714,5.6346150480978,5.85103963564894,6.29834397466611,6.13242055595092,6.30625567670475,6.35251384208048,6.34995984918511,6.13886155882679,6.45882752757548,6.08020099344321,6.50342633836911,6.46736752652123,6.13522825627697
"ABCG4",5.47879679486291,5.47229084964665,5.44002331357887,5.15656893360771,5.0876720168664,5.34533533918599,5.3404276776731,5.21072822259037,5.8283053442262,5.47125900796111,5.47320634055261,5.40414186973983,5.73656266531448,5.54319487812582,5.18044229115481,5.36257894592073,5.00938175209109,5.12646247206976
"ABCG5",5.28067947387089,5.1673864312826,5.11881153572758,5.11971888042604,4.49262854486431,4.78357703108112,4.97957450189733,4.70291652933387,5.18738572744356,4.99742461098366,5.13046059977066,5.43101379721316,4.99447925701027,5.15656893360771,5.05455300675463,4.58336667699739,5.04485369753378,4.9619558135846
"ABCG8",4.23193669521353,4.59694532467828,4.75019239407511,4.18778745888816,4.35692686555522,4.44130173689823,4.85551690806421,4.53236654878453,5.42761488792079,4.86436643930902,4.78489276721417,4.67736853255724,4.94861785325436,5.03775422593482,4.61120411426347,4.62103425669162,4.84860826930409,4.58858869817238
"ABHD1",5.22415027860878,5.47204514711854,5.25615319737458,5.08097993155978,5.0369761982213,5.25121425035229,4.99875698865105,5.17389136373348,4.58442971726781,5.36570933215264,5.05746890145904,4.96154549658663,4.83954666776953,5.35554737770107,4.79740219351291,4.6893046405299,4.93131926485506,5.26339578573298
"ABHD10",8.61898690363267,8.54670682018099,8.82432413328127,8.77203989955341,8.66378457710965,8.55854760362342,8.04406488501687,8.49230370785115,8.73412585409939,9.24815092404745,8.81884436307976,9.03075060601568,8.97973573792081,8.95144430610013,9.02761151301178,8.93993752233601,8.86089565090522,8.6873212991961
"ABHD11",7.567590014015,7.17279211186735,7.40448559002663,7.78659740732162,7.47493940602666,7.04283538555473,7.03864644229644,7.75038113312299,7.02375723591487,5.22244871110731,7.36117495011076,7.40987678795467,7.41880690890442,7.48614686787123,8.02537081800372,7.73045899637667,7.31264938310506,7.85686160172022
