"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"XLOC_002471",5.0598,5.1439,5.5737,5.2355,5.1103,4.8256,4.8766,4.8372,5.3594,5.1849,5.5065,4.2504,5.4168,5.5812,5.3787,5.1477,4.8149,4.3175,5.2808,5.7432,4.9634,4.7057,4.8282,4.6924,4.6243,5.2107,5.5175,5.4101,4.7086,5.2851,5.1829,4.9759,4.944,5.0607,5.3084,5.1654,4.7477,5.4509,5.3216,3.9601,5.5775,4.3198,4.7611,5.1704,5.0504,5.0598,5.0607,5.4006
"XLOC_002473",7.1014,6.9205,7.0874,7.205,7.2288,7.1502,7.2704,7.1815,6.7366,6.8877,6.7987,7.2505,6.6667,6.6083,6.9873,6.818,7.1671,7.3176,6.7908,6.7716,7.0709,6.8341,6.806,7.1007,7.0418,7.1979,6.9766,7.2648,7.0286,6.9979,6.7784,6.6872,7.4916,6.6117,7.3504,6.9252,7.3503,6.6894,6.7516,6.4669,6.3049,5.6926,4.5888,6.4228,6.0264,6.3583,6.6433,6.444
"XLOC_002476",5.2808,5.2293,4.716,4.5059,4.5819,5.4902,5.095,4.5832,5.8765,4.6037,5.2289,5.2935,5.1051,4.5217,5.4697,5.3122,5.1439,5.3536,5.3061,5.8531,5.6579,5.5052,5.7149,5.7436,5.0513,5.2779,4.4939,4.2079,5.0517,5.1142,4.825,5.0326,5.2404,5.4031,5.2261,5.1485,4.3554,4.4492,5.0238,5.4242,5.2858,5.8986,4.9396,5.561,4.7787,5.5731,6.8153,5.027
"XLOC_002477",4.190743988,4.607402388,5.027959845,4.93030215,6.024474113,5.269561879,5.353924915,4.663627423,4.460194368,4.37874057,5.012678961,4.509192336,4.619680107,4.907449985,5.189872691,4.385946433,4.989213249,4.462581957,3.640386229,4.640315385,4.488253162,5.069278301,5.642387772,5.381945532,4.673672371,4.40805859,4.520367835,4.878621594,4.114711367,4.229713609,4.991104616,4.598125039,4.759398274,4.078699582,4.657090283,3.348169854,4.451291423,5.06074857,4.224095683,3.611169279,5.002401039,4.486578232,4.217648295,5.002401039,4.154072866,5.243617082,4.778688751,4.345122006
"XLOC_002478",5.481838745,5.102464321,5.115527895,5.000993814,4.935713584,5.329092532,5.587814046,4.789053702,5.140453567,6.697563732,5.393074676,4.939146686,5.602735018,4.138798179,5.395932831,5.532231524,5.095008781,5.144707906,5.350613969,4.393831533,4.907950639,5.671575535,4.972557158,4.470399189,5.445744945,5.262140626,4.940615518,5.036685062,4.836111863,4.4354042,4.825020723,5.47577291,5.14555727,5.18492364,5.308383366,4.397401472,4.388101192,4.857004827,5.601187931,4.408766273,5.447123497,5.025193514,6.464395467,6.079510763,4.778688751,5.530769454,4.939636463,5.000993814
"XLOC_002484",5.9462,5.6163,5.7074,5.9154,5.4374,5.8058,5.9911,5.8974,5.9137,5.9738,5.5731,5.6886,5.5304,5.6618,5.4328,6.0625,6.065,6.2068,5.9566,6.6313,5.9908,5.4835,6.2539,5.8282,5.9452,5.5138,6.1995,6.0877,5.6666,5.6336,5.9861,5.9605,5.832,5.8295,5.5408,5.6956,5.4695,5.662,5.7149,5.9492,6.0376,6.8017,7.7744,5.1368,6.3186,5.7599,5.795,6.4053
"XLOC_002485",4.443,4.8969,4.351,4.8004,5.2602,4.9273,5.1708,4.4312,5.1155,4.962,4.8476,4.9157,4.9199,5.3231,4.7743,5.0616,5.2121,5.0981,5.1345,4.354,5.3388,5.4454,5.7808,5.1025,4.5981,5.4151,4.5521,4.4472,4.9391,5.3235,4.1397,4.8791,4.561,5.1704,4.5604,4.8314,5.4695,4.5978,4.5405,4.9726,4.8868,5.0571,5.1806,5.4172,6.2,7.1116,4.6246,8.5358
"XLOC_002486",4.4758,5.4447,5.1155,5.001,5.0108,5.5092,4.7588,4.7449,6.0802,6.6976,6.8403,5.9322,5.2723,6.0442,5.1443,5.4055,5.7346,5.0504,4.8868,5.4835,5.1771,4.6074,6.5619,6.6599,5.0513,4.7229,5.0862,5.8215,4.5347,4.9605,4.9601,6.1962,4.6142,4.6487,5.5287,4.5052,4.4186,4.8314,4.6517,5.3152,5.095,5.091,6.5334,5.839,4.002,5.27,4.7297,5.001
"XLOC_002487",4.832160522,5.346926207,5.199311178,4.93030215,6.526355273,7.315349316,5.334316832,5.200129005,5.59591539,5.280815962,5.269561879,5.608598867,6.304183388,4.960058376,5.673932343,5.405537513,5.498555687,5.425256789,5.466626068,5.338779794,5.852299811,5.804027981,5.570841399,4.944525108,4.991104616,5.42840097,4.600604838,5.088839862,5.119856264,5.129762507,5.489218075,5.286025135,5.085302886,5.111621228,4.733081383,5.118559116,4.972557158,4.449229071,5.023808357,5.905667018,5.389135445,4.85855967,5.512778942,4.769351302,5.050355175,5.530769454,5.043080571,5.153601389
"XLOC_002488",4.567396442,4.774302185,4.495932891,4.376571774,6.533997531,4.626388579,5.464245168,5.008016253,4.028013694,4.058097197,4.93423975,4.680134972,4.424248119,4.883721053,4.652914809,4.561044073,4.651121614,4.355436925,4.40522438,6.711253535,4.488253162,4.963915701,2.985206081,5.102464321,5.140453567,4.645728617,4.648727215,3.963971996,4.154072866,4.462241115,4.655898523,4.452664688,4.147304074,4.768248795,4.484230059,4.397401472,5.213556649,4.316746819,6.602562306,4.557219182,4.91244873,5.057141963,4.588787646,4.73138517,4.640315385,4.47851139,4.939636463,4.723443033
