"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"RXFP1",12.1572483224872,13.1580434365504,12.8365214694212,13.4472719700663,12.0949531613065,12.08386477529,12.6514274767598,13.2846272430951
"RPL12",12.878951548972,12.5931929678367,12.2084990332646,12.5110855807433,12.7739612461743,12.9417823646372,13.1322448147014,12.877325970197
"NID1",13.1646147301925,12.3443394469921,12.9179776933659,12.671085483304,12.8512991603612,12.8178427468635,12.6507108989931,12.6882996804565
"CTSB",12.9123145009222,12.690775448514,12.6136550928309,12.264702701582,12.9212589340762,13.0997045490523,13.0987720430393,12.36861214601
"RANBP2",12.738024362721,12.6472719843035,12.7702858212384,12.7188095551199,12.7996507892422,12.7365907923786,12.9074186885975,12.7640025881042
"PPIA",12.8819398277599,12.9260465771677,12.2255876247259,12.6393159186315,12.9191760195352,12.9383309534152,12.7201901124136,12.7758844107523
"SPARCL1",13.2174143318228,12.4675989723273,12.5398352505973,12.6773068716137,12.2891581467057,12.9930451196546,12.9487103080902,12.5712689471675
"COL4A2",13.0697070228961,12.5199590374948,13.0590302525779,12.5274711184965,12.8259107699745,13.0485068432128,12.6875007321351,12.1160254852868
"NIBAN2",12.3709730629529,12.9762847340046,12.463225805133,12.624902988688,12.7746015667087,12.8421415391155,13.1164550221746,12.6938530407149
"PIK3R1",13.1871037635633,12.6349370615469,12.4296346442043,12.1239454775083,12.7619847903639,13.2940929756186,12.6931251217937,12.6057051108272
"RPL17",12.9896494668484,12.5804161244786,12.1470284469659,12.3686755961915,12.9641935704844,13.0385119545772,12.7603562699315,12.8438142895948
"RPL19",12.9989401814974,12.7618490140044,12.1848045220997,12.5428775309119,12.8487679739839,13.0081351616084,12.6681795717944,12.7652091509398
"GOLGB1",12.5562951985219,12.6096348836047,12.8031991992896,13.0752219539816,12.5181133312312,12.597970386986,12.8170424840126,12.7826242094176
"RPL6",12.9645199853785,12.6192946800903,12.2513323828569,12.4502243984584,12.8473818067956,13.0092797617254,12.6727763290966,12.7526953155883
"ITM2B",12.7442542541833,12.8219557992422,12.2862650333743,12.2125698253178,13.043561878877,13.0428564221983,12.8636275440054,12.4374760216581
"ATP2B4",12.728151120598,12.5061389308679,12.8181621724163,12.2985889223786,12.9610984625075,12.8818383707313,12.9937542374129,12.2760169793517
"KMT2C",12.5041058864085,12.6230945213118,13.1066681981764,12.9846024898472,12.5619559670336,12.5045196372834,12.6843303737688,12.632085108865
"SLC38A2",12.4590838972358,12.9286478977867,12.1393035760985,12.072191610206,12.9075752867769,13.2191196816436,12.857494397817,12.5762160331509
"CD44",12.5600198316613,12.8372262248359,12.3006125817111,12.1127458920247,13.1372870821652,12.8223668722729,13.141455517991,12.1798156791091
