"","SRR6286050","SRR6286052","SRR6286054","SRR6286056","SRR6286058","SRR6286060","SRR6286062","SRR6286064","SRR6286066","SRR6286068","SRR6286070","SRR6286072","SRR6286074","SRR6286076","SRR6286078","SRR6286079","SRR6286080","SRR6286081","SRR6286082","SRR6286083","SRR6286084","SRR6286085","SRR6286086","SRR6286087","SRR6286088","SRR6286089","SRR6286090","SRR6286091","SRR6286092","SRR6286093","SRR6286094","SRR6286095","SRR6286096","SRR6286097","SRR6286098"
"MT-ND2",17.5975816407918,16.462291772643,16.3146474310321,16.5692640469842,16.4187020912786,16.3453138648429,16.6447060453498,16.8258895656402,17.8071937508465,16.7953100008528,16.8337354124371,16.7097813880751,18.1224817402198,17.929008641371,16.2200517925032,16.3150533403489,18.2647810274933,17.2357096248494,17.2044073938537,17.1761921414361,18.2500777448332,17.8678375279118,19.8645938082574,17.2531583801881,17.0958666139441,17.6591696707623,17.3559738633208,16.7004198304015,18.1675601660707,19.480648948049,17.5999266037546,17.4921382134002,16.7596014282888,19.1229134114734,18.7349156790317
"COL1A1",15.1103842625768,16.7739654239483,17.1185742617842,16.7096906686715,17.2640803806641,16.371091729578,16.7705016172549,16.4419258444921,17.2332157397725,16.3994483107933,16.1457298819574,16.3549181161186,15.9940344689037,17.5012494786147,16.5683152961199,16.7042119362185,16.2243769278228,17.1068895172038,15.7339259372026,16.7880791813801,16.5684791730519,16.9661544030762,16.4105905812432,16.8968108800431,16.6023945281671,16.8162921581404,17.0119304350847,16.6309242531083,16.1434416668516,17.5175092571212,15.9640417504034,17.1540160535262,16.4127661852304,16.8108252587036,17.5130656030288
"MT-ND1",16.5522245509214,15.7418862008205,15.5468308821583,16.139615759489,15.547869758078,15.6720250947218,15.6968997112076,16.3123864666399,16.910776091497,16.1755968630168,15.7891506833401,15.9247204902105,17.3746416192248,17.3124376328086,15.226035031066,15.1437038763032,17.7046457491862,16.6766106896435,16.4251865486377,16.1324346702072,17.5204339286331,17.0951400149584,19.3925823026778,16.7704876872613,16.5667854558714,16.6807087575457,16.3889303024213,16.2972698060045,17.3720811579131,18.6835436670428,16.7786292972821,16.8781500584825,15.9271419979696,18.2688112006679,17.8460503695544
"TPT1",16.776974246055,16.4331020191125,16.7719032636807,16.6114451459493,16.1908371635005,16.2552052353817,16.269392480471,16.529676939931,16.9544202079697,16.6864671818971,16.174100797799,16.313265153431,16.7699984985931,16.5241729525426,16.1572004978391,16.8498863512916,17.0961612724892,16.866757628112,16.8343670862085,16.2844829795881,17.0304956978559,16.8950797088515,16.6448607341165,16.8993192578978,16.8575696841746,16.4814133618951,16.826654481013,15.9113576504744,16.808196351363,17.9540113655828,16.9472836145588,16.7734976827114,16.1612818196872,16.9852005206611,17.0725599639705
"MT-ND6",16.691400352671,15.953657315573,15.5675442411816,15.9974934264829,15.2219050442866,16.0338039250412,16.0387712992629,16.2862185062114,15.9253547914957,16.6022375249335,15.5729370090006,16.5873927450952,17.8622189934929,16.5686187587112,15.2354949804765,15.450587416442,17.5041169436748,16.6439056425834,16.941655558961,16.0999476971914,17.5610069215199,17.2607786273437,18.9282723435304,16.4053818297,16.6855813132763,16.6719379783793,16.4144237531176,15.2353783071797,17.0396335759633,17.9126027028171,16.1687415252022,16.5526223482458,15.8961393907442,18.2351002921652,17.6272782961083
"ACTB",15.6999302181139,15.6624342980604,15.9084487653146,15.767886730508,15.6595556048952,15.8051078447586,15.3550168092529,16.3082321148599,16.9572698220028,15.6141774282248,15.9254093562973,16.0952057366872,16.0833700577413,17.1555142689839,15.2373444912015,15.7198692646032,16.9275191169577,16.9243639365871,16.4020030143176,16.3524331053313,17.1933956938127,17.577621821778,17.7640433624623,16.7279425732664,16.8673504348451,16.9946922911489,16.6817174078462,15.3605284836944,17.2196878281664,18.989931216103,17.4701728592938,17.0875336136699,15.9067665302901,18.5149091033536,17.8995841090933
"TMSB4X",15.7303245154409,15.7588769325347,16.0674147626912,15.7844978945316,15.8897582412704,16.41548401705,15.8499411191799,16.2350348441148,16.3229489424642,15.7761169932767,16.3913992090662,16.571822096156,15.8482508763073,16.2078865333155,15.7408074874717,15.8907847069301,16.4109507155045,16.432510469873,16.6131008236199,16.4695185459792,16.7025774224529,17.1391069644473,16.4299896084795,16.3122038007983,16.6091748379646,17.0340351615156,16.908662132434,15.0162292619489,17.1268387583802,17.6583112077677,17.1466350520512,16.8048502908244,16.5761123426417,17.1567216830391,16.8042845417078
"FTH1",16.2020606560227,15.8530984006405,15.5176948701967,15.5915284048138,15.7096805711788,16.3366659426286,16.1741914723569,16.4611229768909,15.968221300285,15.6465152061066,16.390782967812,16.0320967654539,16.1638372223642,16.1588718716903,15.0319839288751,15.9926033259137,16.6842322092036,16.537173386566,16.667949924929,16.3980603760471,15.8130747320114,16.1039635151125,14.8942679388401,16.5899519676377,16.6854371741172,16.9751237616373,16.3192940979483,14.6807123767779,16.920094549636,16.0407734301972,16.8561399298349,16.25436238925,16.2712043773763,15.9155360276351,15.2893683637215
"SPARC",15.2800615589875,16.6143260519871,16.5735998931152,15.9304662499493,16.1291011450497,16.133551556033,16.5212224687694,16.2977619019059,17.0770146933754,16.3628347796188,15.7644476805731,16.2415503305456,15.8371666131264,16.6274133110148,16.5332892109338,17.2730132605073,16.1448343857739,15.9323158533711,15.6467678961213,16.5211458968125,15.8077403716042,15.8521498632578,14.0079885193496,16.4417169488042,16.0561490846093,16.2242582782646,16.5885310139263,15.5567352907728,16.0717798766425,16.0228102331316,15.2779434600404,15.7532692881467,15.9706586058492,15.2719753531629,16.1258069614426
"SAT1",14.7646487549365,15.8365376886061,14.6027493914707,14.9411358202444,15.2619542467083,16.6181246189452,16.6325747084394,16.1991976086475,14.3421466161846,14.5304708959214,16.4061160102087,16.168214720536,14.9786029070197,15.5617673831349,15.0106420717334,15.1510078656937,16.8869702270066,15.9650213652826,16.9615805403763,16.0626090742508,16.5636471964944,16.4496056560309,16.7239393112928,16.186018630305,16.8981237710719,16.9018098377368,15.9916784450871,14.3730675054332,16.7330989857337,15.9720108245618,16.6059534087429,16.7606504232551,16.51180133755,16.7279664256138,16.8150582601306
