"","Endothelial","Epithelial","Lymphoid","Myeloid","Stromal"
"NACA",12.7392074489594,14.7576932648804,5.21849239735597,9.37550997480042,18.6320772463837
"RPLP2",13.1935714285715,13.2164024810475,6.82971572608875,10.3158295281583,15.7091345394826
"RPL36",15.4707142857143,13.8431952187967,5.4108668253747,8.0913242009132,16.058337035814
"FAU",11.6573420292991,12.1049445745783,7.50573489776497,11.5349265919428,15.789032670884
"SERF2",13.1289884001868,12.4197674142008,5.57798743097751,9.22253870165689,17.6879567307038
"GNLY",1.99857142857142,0.360854583046171,51.8546422069746,2.75570776255709,0.954753560039164
"IGFBP7",46.6485714285715,1.08407994486565,0.740372496849203,0.793759512937601,8.40980707903062
"RPL24",13.3785714285714,13.3932339632125,5.07996078980544,7.77881061105418,17.9011270116783
"GAPDH",13.2371428571429,17.362577532736,6.18820893432305,8.00076103500757,12.3606927473071
"LGALS1",5.265,2.56650585802907,6.11482985576268,8.73592085235915,33.8816898740142
"RPL17-C18orf32",10.1262660168973,14.6379789811002,4.9970265607181,8.14094169964795,17.7342122337903
"H3-3A",10.9029804260284,17.0647214614958,3.71530624031139,8.3153693359033,14.8062168403134
"RPL14",10.8700458436353,14.08503583774,5.31835526682859,7.85388127817589,16.4139239398015
"RPS25",11.3777766735001,12.9233840705156,5.75383498616591,8.83924599515789,14.3258875081149
"RPS11",10.7764285714286,12.7833218470021,3.72419829155573,10.0357686453577,14.3694147502209
"NEAT1",16.0242857142857,11.4504479669193,1.81179106567697,10.0388127853881,12.3410533295437
"RPSA",9.98664365772694,14.3193658661299,5.65636481867128,7.19367338548405,14.0365639736489
"MTATP6P1",11.9295412146194,7.48534001751981,5.83336123518627,7.21833577756649,16.4093220300953
"S100A6",10.9392857142858,1.81805651274991,3.38061896092978,6.90258751902583,25.6200309431316
"RPL35",10.9991666666738,10.3895611352258,5.88465512164868,7.88444951804894,13.3565439485933
"SFRP4",2.07428571428571,1.68504479669202,0.425990757596981,3.20319634703198,40.9438287392266
"COL1A1",3.20857142857145,1.35272226051006,0.787144657611005,2.90943683409439,40.069274730822
"WFDC2",0.605714285714285,45.1097174362508,0.335947346310044,0.743531202435314,0.579773294180851
"RPL23A",8.8286389139295,12.2867162022198,5.14341189855534,7.26433223651511,13.4956356513046
"RPL37A",10.9421428571429,10.7007580978635,4.1135695280773,7.02207001522066,14.1950048940661
"RPL21",9.76897926070861,9.62250805320437,4.56726949734815,9.05412847771559,13.1879967642222
"CST3",6.34071428571429,7.54362508614734,0.703122811931122,21.6704718417047,9.76347447191356
"HSP90AB1",11.9121428571429,10.4347946911002,3.69849285814305,5.46841704718414,14.1653945543035
"IFITM3",18.6849735805179,2.37346287296619,1.56072563552206,3.78962604846677,18.2025730482216
"EIF1",9.28928571428577,10.0582356995175,6.42851141296731,8.89726027397259,9.72264847968072
"CD74",5.99000000000001,1.85292901447284,0.835457218876933,35.2199391171993,0.183148621767545
"HSP90AA1",9.91107142857148,11.6047364637819,4.90875849946181,8.25905994084325,9.38477076290408
"RPL27A",8.74827378375194,11.7109371459706,3.51090231721025,7.21785760542752,12.402576167673
"RPS26",10.2844653253524,10.7917211392638,4.27158152156595,5.81823897818248,11.0491221314522
"RPL7",7.6714785800768,14.3040057306307,1.7595879503023,4.97169137080418,13.3486498991386
"HLA-B",12.865416130679,4.68731003731044,10.558339750628,10.4304259178119,2.96329146483964
"UBA52",8.32714285714287,9.48656099241898,4.51253325864731,8.47716894977165,10.3645606390696
"HLA-DRA",2.46285714285715,0.633494141971062,0.271810670774407,36.7298325722983,0.133087051245623
"RPL22",9.28903273646322,9.53528518583504,3.01595385931666,6.31961132286614,10.7859030602132
"CD63",7.17214285714287,8.04438318401083,4.31270130233865,5.324200913242,12.9858229926418
"PTGDS",2.52499999727522,0.439696646755435,0.885520153896354,3.19656040751952,30.7623534593936
"H3-3B",5.83607142857144,8.86870061610164,4.60957849040756,7.21575342465748,11.2024707145567
"CD81",6.04928571428573,4.71826326671243,2.47612379218589,3.95053272450536,19.0504878279794
"EEF1B2",7.31035422755142,8.18609054047907,3.55896463500663,6.45316636684818,10.5297597162086
"CFL1",8.16428571428575,5.96967608545817,5.72258787284704,7.22070015220694,8.82807615799897
"ITM2B",7.28357142857145,6.4698828394209,2.28903514913868,7.55175038051745,12.1062801932354
"RPS21",8.77000000000005,8.21874569262561,4.59165382999589,6.26407914764073,7.83710650121501
"RPL23",7.78142857142859,9.14844934527903,2.16293236241412,6.15981735159814,10.0670960815877
"RPL27",7.6164285714286,7.04934527911779,3.67637585772296,5.82800608828002,10.1862587224896
"HLA-A",11.402071461337,4.5447249593444,7.75770959304822,6.12027353120901,4.23834098856275
"IGFBP2",6.12214285714287,1.94500344589946,2.202352611679,1.68645357686455,21.7768603594642
"PFN1",6.88500000000001,5.10019143891264,7.27118050679836,8.16362252663616,6.29847494553313
"PPIA",8.56964962105669,8.44282699921126,3.34643240584745,5.05761034906906,7.96747262517682
"MIF",7.40373901963237,10.6428892909932,2.62339258682153,2.83823983902191,9.58928199847007
"HSP90B1",8.10071428571429,9.09297036526526,1.73904215095911,3.644596651446,10.0337217012401
"SAT1",3.01571428571428,20.4755341144037,0.684778042291018,6.71613394216132,1.40576552682251
"SPARC",12.4007142857143,0.531909028256369,0.620921439574308,1.60730593607307,16.9454390451816
"GSTP1",4.36928571428572,10.0975878704341,5.51281333146637,4.02663622526639,8.03949985791369
"SNHG29",6.4664285714286,10.8569262577533,1.31396163002375,2.79604261796045,10.4296359445539
"RPL36A",7.85684541163154,5.71427713510518,2.2396650759793,4.91284279976677,10.6835772395467
"GNAS",8.87857142857145,9.28435561681591,1.81627223077988,4.25799086757991,6.98973824634455
"PPIB",5.15214285714286,7.85596140592676,1.97857442935149,3.28614916286152,12.4926588993073
"HNRNPA1",7.26600740955347,7.08850292376021,2.15833546731223,3.7513113004727,10.4187938013569
"NPM1",6.60919118398006,8.5807667896592,2.19797294857012,3.45175650859853,9.27200105626751
"RPL17",6.79630719760355,6.4166178846067,3.56108542680604,4.3068740826519,9.0255610493214
"TXN",3.71500000000001,5.82343211578207,1.38608038089895,3.42313546423138,15.3494995421666
"HMGB1",7.18485248022317,6.03398997440709,2.90891147272256,3.77715610150597,9.74206022947739
"ATP5F1E",6.00785714285716,7.10227429359048,3.99817952667688,6.17199391171988,6.10062833506934
"SRP14",7.70071428571431,8.93356305995853,2.38776081781255,3.44063926940643,6.64039657730986
"FOS",2.84071428571428,8.00689179875937,2.37515754096057,10.1529680365296,5.63572353256845
"RPL4",6.28047607230291,6.20524871930584,2.14604861325459,4.26237168295744,10.0968772148583
"BTF3",5.85714285714286,8.47856650585786,2.21187508752266,3.72450532724509,8.34654731457741
"SPARCL1",13.2707142857143,0.359062715368704,0.269430051813478,1.06240487062405,12.5640807047445
"HLA-C",7.52803494768484,4.18327594513234,6.34458405833221,5.73226409559926,3.71910372715579
"A2M",24.9228571428572,0.116884906960718,0.199621901694443,1.21765601217657,0.662530390578198
"JUN",2.60357142857143,7.45830461750507,2.2814731830275,5.74733637747336,8.97938176880974
"YBX1",6.54101190409493,5.22868595488467,1.91623488441673,4.95370370319716,8.35561359773824
"S100A11",3.41428571428573,8.99944865609913,1.97731410166631,7.08066971080665,4.52360203340565
"RPL9",3.31448319903647,8.50749017871046,1.44202602049849,2.67867031029446,9.50178468670195
"IFITM1",6.92993968088714,0.703997434561722,8.36512253991742,1.39319457880348,7.90510400612501
"MDK",2.75142857142858,10.1501033769814,0.269009942585078,1.01065449010655,11.0891983202289
"COL1A2",1.30571428571427,5.3270847691246,0.326284834056863,1.25494672754948,16.9578794480738
"UBC",4.32571428571429,6.68090971743615,2.64906875787694,4.98325722983257,5.55066148842738
"SH3BGRL3",4.59428571428572,1.76926257753282,6.13569528077312,5.6430745814307,5.76922105396053
"IGF1",1.25785714285713,0.61102687801517,0.360593754376148,1.90487062404872,19.6777177859856
"DDX5",5.43357142857145,4.73053066850434,2.99257807029819,3.91552511415528,6.70679801711277
"HNRNPA2B1",5.27428571428571,5.27980702963456,2.90407505951541,3.66742770167431,6.31716712449812
"IFITM2",8.59456795241156,1.03247247218761,4.81885036330762,2.59809967852802,6.31041198637055
"HLA-DRB1",2.25389926723072,0.372088215024113,0.288965130934048,20.0019942723452,0.0666382495026991
"RPS20",4.74452380953092,6.13882708151035,1.80443915419669,4.38698630136988,5.7841858209385
"DYNLL1",6.04428571428573,4.81929703652634,2.02268589833345,3.10350076103504,6.57289002557483
"NCL",5.17714285714287,3.88959338387329,2.63394482565462,2.8508371385084,8.00757791039056
"EEF2",5.27499999999999,5.70489317711912,1.08808290155441,2.2922374429224,7.96040541820539
"COX4I1",4.04571428571428,6.10916609235001,2.27237081641218,4.08143074581433,5.43913990717007
"IFI27",14.0771428571429,5.1102687801515,0.185828315361996,0.407914764079149,1.99870544030788
